MonitorId,Parameter,Description,UOMId,SamplingDurationMinutes,SamplingFrequencySeconds,computeQuality,UDL,useUDL,LDL,useLDL,MDL,useMDL,PersistCount,usePCount,PersistThresh,useAdj,usePThresh,Anom1Thresh,useA1Check,Anom2Thresh,useA2Check,Anom3Thresh,useA3Check,Anom4Thresh,useA4Check,Anom7Thresh,useA7Check,PersistWindowSize,Anom1WindowSize,Anom2WindowSize,Anom3WindowSize,Anom4WindowSize,Thresh1,Thresh2,Thresh3,Thresh4,WindowSize1,WindowSize2,WindowSize3,WindowSize4,PerformCheck1,PerformCheck2,PerformCheck3,Column1,StreamSegmentId
AD6GXX7V,43104,check4,8,20,20,1,60000,1,0,1,0,0,3,1,0,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,776
AD6GXX7V,43104,check4,8,20,20,1,60000,1,0,1,0,0,3,1,0,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,776
AMVCCJ3V,88101,check3,105,20,20,1,500,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,93
A81W00JP,88101,check3,105,20,20,1,500,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,143
AWRJ543W,88101,check3,105,20,20,1,500,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,223
AWRJ543W,88101,check3,105,20,20,1,500,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,223
AWRJ543W,88101,check3,105,20,20,1,500,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,802
AWRJ543W,88101,check3,105,20,20,1,500,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,802
AWRJ543W,43104,check4,8,20,20,1,60000,1,0,1,0,0,3,1,0,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,226
AWRJ543W,43104,check4,8,20,20,1,60000,1,0,1,0,0,3,1,0,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,226
AWRJ543W,43104,check4,8,20,20,1,60000,1,0,1,0,0,3,1,0,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,806
AWRJ543W,43104,check4,8,20,20,1,60000,1,0,1,0,0,3,1,0,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,806
AVQS7GR8,85101,check2,105,20,20,1,1000,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,324
AZ1HX3TG,85101,check2,105,20,20,1,1000,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,234
AZ1HX3TG,85101,check2,105,20,20,1,1000,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,234
AZ1HX3TG,85101,check2,105,20,20,1,1000,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,814
AZ1HX3TG,85101,check2,105,20,20,1,1000,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,814
AZ1HX3TG,88101,check3,105,20,20,1,500,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,233
AZ1HX3TG,88101,check3,105,20,20,1,500,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,233
AZ1HX3TG,88101,check3,105,20,20,1,500,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,812
AZ1HX3TG,88101,check3,105,20,20,1,500,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,812
A81W00JP,43104,check4,8,20,20,1,60000,1,0,1,0,0,3,1,0,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,146
AD6GXX7V,85101,check2,105,20,20,1,1000,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,174
AD6GXX7V,85101,check2,105,20,20,1,1000,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,174
AD6GXX7V,85101,check2,105,20,20,1,1000,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,774
AD6GXX7V,85101,check2,105,20,20,1,1000,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,774
AD6GXX7V,88101,check3,105,20,20,1,500,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,173
AD6GXX7V,88101,check3,105,20,20,1,500,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,173
AD6GXX7V,88101,check3,105,20,20,1,500,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,772
AD6GXX7V,88101,check3,105,20,20,1,500,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,772
AWRJ543W,85101,check2,105,20,20,1,1000,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,224
AWRJ543W,85101,check2,105,20,20,1,1000,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,224
AWRJ543W,85101,check2,105,20,20,1,1000,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,804
AWRJ543W,85101,check2,105,20,20,1,1000,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,804
AL8GPHY9,88101,check3,105,20,20,1,500,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,283
AZ1HX3TG,43104,check4,8,20,20,1,60000,1,0,1,0,0,3,1,0,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,236
AZ1HX3TG,43104,check4,8,20,20,1,60000,1,0,1,0,0,3,1,0,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,236
AZ1HX3TG,43104,check4,8,20,20,1,60000,1,0,1,0,0,3,1,0,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,816
AZ1HX3TG,43104,check4,8,20,20,1,60000,1,0,1,0,0,3,1,0,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,816
A81W00JP,85101,check2,105,20,20,1,1000,1,0,1,0,0,3,1,3,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,144
A0QKRQ9J,43104,check4,8,20,20,1,60000,1,0,1,0,0,3,1,0,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,136
A0QKRQ9J,43104,check4,8,20,20,1,60000,1,0,1,0,0,3,1,0,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,136
A0QKRQ9J,43104,check4,8,20,20,1,60000,1,0,1,0,0,3,1,0,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,766
A0QKRQ9J,43104,check4,8,20,20,1,60000,1,0,1,0,0,3,1,0,0,0,40,1,10,1,2,1,100,0,0,1,5,3,4,9,5,,,,,,,,,,,1,,766
