MonitorId,Parameter,Description,UOMId,SamplingDurationMinutes,SamplingFrequencySeconds,computeQuality,UDL,useUDL,LDL,useLDL,MDL,useMDL,PersistCount,usePCount,PersistThresh,useAdj,usePThresh,Anom1Thresh,useA1Check,Anom2Thresh,useA2Check,Anom3Thresh,useA3Check,Anom4Thresh,useA4Check,Anom7Thresh,useA7Check,PersistWindowSize,Anom1WindowSize,Anom2WindowSize,Anom3WindowSize,Anom4WindowSize,Thresh1,Thresh2,Thresh3,Thresh4,WindowSize1,WindowSize2,WindowSize3,WindowSize4,PerformCheck1,PerformCheck2,PerformCheck3,PerformCheck4,PerformCheck5,PerformCheck6,PerformCheck7,StreamSegmentId
41,88101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26168
41,85101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26167
43,88101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26176
43,85101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26175
44,88101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26184
44,85101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26183
45,88101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26192
45,85101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26191
46,88101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26200
46,85101,,105,5,2,1,500,1,0,1,0,0,3,1,0.001,0,0,40,1,10,1,2,1,100,0,0,1,24,3,4,9,5,,,,,,,,,,,1,,,,,26199
