MonitorId,Parameter,StreamSegmentId,Description,UOMId,SamplingDurationMinutes,SamplingFrequencySeconds,UDL,useUDL,LDL,useLDL,MDL,useMDL,PersistCount,usePCount,PersistThresh,useAdj,usePThresh,Anom1Thresh,useA1Check,Anom2Thresh,useA2Check,Anom3Thresh,useA3Check,Anom4Thresh,useA4Check,PersistWindowSize,Anom1WindowSize,Anom2WindowSize,Anom3WindowSize,Anom4WindowSize,Thresh1,Thresh2,Thresh3,Thresh4,WindowSize1,WindowSize2,WindowSize3,WindowSize4,PerformCheck1,PerformCheck2,PerformCheck3,PerformCheck4,PerformCheck5,PerformCheck6,PerformCheck7
65,42602,3288,Standard Settings for Dylos PM2.5,105,60,4,3000,1,0,1,0,0,4,1,0.001,0,0,2,1,7,1,4,1,4,1,4,4,4,4,4,,,,,,,,,,,1,,,,
16,88313,3310,Standard Settings for Dylos PM2.5,105,60,4,1000,1,0,1,0,0,4,1,0.001,0,0,2,1,7,1,4,1,4,1,4,4,4,4,4,,,,,,,,,,,1,,,,
